資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20231006,00640L,16,0,0,0.00
20231006,00640L,17,1222,16419000,100.00
20231006,00641R,1,42,8203,0.01
20231006,00641R,2,478,1262769,2.79
20231006,00641R,3,212,1798573,3.97
20231006,00641R,4,91,1204000,2.66
20231006,00641R,5,98,1861000,4.11
20231006,00641R,6,88,2289901,5.05
20231006,00641R,7,56,2066939,4.56
20231006,00641R,8,33,1533000,3.38
20231006,00641R,9,83,6057036,13.38
20231006,00641R,10,32,4253000,9.39
20231006,00641R,11,13,3320000,7.33
20231006,00641R,12,6,3130000,6.91
20231006,00641R,13,0,0,0.00
20231006,00641R,14,1,898000,1.98
20231006,00641R,15,4,15575579,34.41
20231006,00641R,16,0,0,0.00
20231006,00641R,17,1237,45258000,100.00
20231006,00642U,1,1064,203158,0.16
20231006,00642U,2,7279,16136670,13.19
20231006,00642U,3,1424,11726190,9.58
20231006,00642U,4,398,5248546,4.29
20231006,00642U,5,324,6134235,5.01
20231006,00642U,6,279,7340582,6.00
20231006,00642U,7,129,4690520,3.83
20231006,00642U,8,76,3607000,2.94
20231006,00642U,9,117,8367150,6.84
20231006,00642U,10,46,6669570,5.45
20231006,00642U,11,23,6309000,5.15
20231006,00642U,12,7,3436000,2.80
20231006,00642U,13,1,735000,0.60
20231006,00642U,14,1,880000,0.71
20231006,00642U,15,7,40837379,33.38
20231006,00642U,16,0,0,0.00
20231006,00642U,17,11175,122321000,100.00
20231006,00643,1,330,96449,0.08
20231006,00643,2,2297,6131984,5.70
20231006,00643,3,790,6646721,6.17
20231006,00643,4,285,3757195,3.49
20231006,00643,5,212,4002908,3.72
20231006,00643,6,230,6018002,5.59
20231006,00643,7,96,3506762,3.25
20231006,00643,8,93,4491961,4.17
20231006,00643,9,140,10137980,9.42
20231006,00643,10,56,7894602,7.33
20231006,00643,11,26,7351248,6.83
20231006,00643,12,12,6267000,5.82
20231006,00643,13,4,2704000,2.51
20231006,00643,14,1,941000,0.87
20231006,00643,15,6,37625188,34.97
20231006,00643,16,0,0,0.00
20231006,00643,17,4578,107573000,100.00
20231006,00643K,1,0,0,0.00
20231006,00643K,2,2,5000,3.93
20231006,00643K,3,0,0,0.00
20231006,00643K,4,0,0,0.00
20231006,00643K,5,1,19000,14.96
20231006,00643K,6,1,25000,19.68
20231006,00643K,7,0,0,0.00
20231006,00643K,8,0,0,0.00
20231006,00643K,9,1,78000,61.41
20231006,00643K,10,0,0,0.00
20231006,00643K,11,0,0,0.00
20231006,00643K,12,0,0,0.00
20231006,00643K,13,0,0,0.00
20231006,00643K,14,0,0,0.00
20231006,00643K,15,0,0,0.00
20231006,00643K,16,0,0,0.00
20231006,00643K,17,5,127000,100.00
20231006,00645,1,2757,830142,1.58
20231006,00645,2,3400,7036609,13.40
20231006,00645,3,491,3951262,7.52
20231006,00645,4,149,1928189,3.67
20231006,00645,5,122,2294463,4.37
20231006,00645,6,70,1783307,3.39
20231006,00645,7,18,660107,1.25
20231006,00645,8,20,915002,1.74
20231006,00645,9,45,3238508,6.16
20231006,00645,10,15,2220000,4.22
20231006,00645,11,8,2536000,4.83
20231006,00645,12,4,2063540,3.93
20231006,00645,13,1,642000,1.22
20231006,00645,14,4,3729584,7.10
20231006,00645,15,5,18668287,35.56
